liste_des_candidats,nuances,voix,percent_inscrits,percent_exprimes,elu_e,dep,circo,link
M. Xavier BRETON,LR,24 407,"28,32","63,22",Oui,01,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/001/00101.html
M. Sébastien GUÉRAUD,NUP,14 202,"16,48","36,78",Non,01,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/001/00101.html
M. Romain DAUBIÉ,ENS,24 960,"24,97","58,34",Oui,01,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/001/00102.html
Mme Lumir LAPRAY,NUP,17 824,"17,83","41,66",Non,01,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/001/00102.html
Mme Olga GIVERNET,ENS,18 398,"22,38","58,72",Oui,01,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/001/00103.html
M. Christian JOLIE,NUP,12 932,"15,73","41,28",Non,01,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/001/00103.html
M. Jérôme BUISSON,RN,22 601,"23,81","62,27",Oui,01,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/001/00104.html
M. Philippe LERDA,NUP,13 696,"14,43","37,73",Non,01,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/001/00104.html
M. Damien ABAD,DVD,17 687,"22,83","57,86",Oui,01,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/001/00105.html
Mme Florence PISANI,NUP,12 882,"16,63","42,14",Non,01,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/001/00105.html
M. Nicolas DRAGON,RN,17 058,"23,53","54,56",Oui,02,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/002/00201.html
Mme Aude BONO-VANDORME,ENS,14 208,"19,60","45,44",Non,02,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/002/00201.html
M. Julien DIVE,LR,17 463,"23,86","58,17",Oui,02,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/002/00202.html
Mme Lola PUISSANT,RN,12 558,"17,16","41,83",Non,02,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/002/00202.html
M. Jean-Louis BRICOUT,NUP,15 586,"23,36","54,84",Oui,02,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/002/00203.html
M. Paul-Henry HANSEN-CATTA,RN,12 836,"19,24","45,16",Non,02,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/002/00203.html
M. José BEAURAIN,RN,17 587,"22,32","57,15",Oui,02,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/002/00204.html
M. Marc DELATTE,ENS,13 187,"16,74","42,85",Non,02,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/002/00204.html
M. Jocelyn DESSIGNY,RN,20 589,"24,76","62,41",Oui,02,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/002/00205.html
M. Stéphane FRERE,NUP,12 403,"14,92","37,59",Non,02,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/002/00205.html
M. Yannick MONNET,NUP,21 832,"24,43","55,51",Oui,03,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/003/00301.html
M. Michel BARBARIN,ENS,17 496,"19,58","44,49",Non,03,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/003/00301.html
M. Jorys BOVET,RN,16 116,"19,90","50,22",Oui,03,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/003/00302.html
Mme Louise HERITIER,NUP,15 976,"19,73","49,78",Non,03,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/003/00302.html
M. Nicolas RAY,LR,19 296,"24,06","60,98",Oui,03,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/003/00303.html
Mme Bénédicte PEYROL,ENS,12 347,"15,40","39,02",Non,03,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/003/00303.html
M. Christian GIRARD,RN,14 791,"23,87","51,20",Oui,04,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/004/00401.html
Mme Delphine BAGARRY,NUP,14 100,"22,75","48,80",Non,04,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/004/00401.html
M. Léo WALTER,NUP,16 063,"24,10","51,49",Oui,04,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/004/00402.html
M. Christophe CASTANER,ENS,15 134,"22,71","48,51",Non,04,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/004/00402.html
Mme Pascale BOYER,ENS,13 767,"23,08","50,36",Oui,05,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/005/00501.html
M. Michel PHILIPPO,NUP,13 568,"22,75","49,64",Non,05,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/005/00501.html
M. Joel GIRAUD,ENS,15 058,"27,74","56,59",Oui,05,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/005/00502.html
Mme Capucine MOUNAL,NUP,11 550,"21,28","43,41",Non,05,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/005/00502.html
M. Eric CIOTTI,LR,17 737,"21,55","56,33",Oui,06,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00601.html
M. Graig MONETTI,ENS,13 751,"16,71","43,67",Non,06,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00601.html
M. Lionel TIVOLI,RN,18 557,"20,81","51,65",Oui,06,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00602.html
M. Loïc DOMBREVAL,ENS,17 369,"19,48","48,35",Non,06,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00602.html
M. Philippe PRADAL,ENS,19 043,"20,74","57,44",Oui,06,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00603.html
M. Enzo GIUSTI,NUP,14 111,"15,37","42,56",Non,06,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00603.html
Mme Alexandra MASSON,RN,19 487,"22,85","56,20",Oui,06,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00604.html
Mme Alexandra VALETTA-ARDISSON,ENS,15 185,"17,80","43,80",Non,06,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00604.html
Mme Christelle D'INTORNI,LR,19 814,"21,73","57,54",Oui,06,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00605.html
Mme Marine BRENIER-OHANESSIAN,ENS,14 623,"16,04","42,46",Non,06,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00605.html
M. Bryan MASSON,RN,17 564,"21,91","51,35",Oui,06,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00606.html
M. Jean-Bernard MION,ENS,16 642,"20,76","48,65",Non,06,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00606.html
M. Eric PAUGET,LR,22 496,"23,06","58,84",Oui,06,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00607.html
M. Eric MELE,ENS,15 738,"16,13","41,16",Non,06,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00607.html
Mme Alexandra MARTIN,LR,21 547,"25,56","69,27",Oui,06,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00608.html
M. Jean-Valéry DESENS,ENS,9 557,"11,34","30,73",Non,06,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00608.html
Mme Michèle TABAROT,LR,19 955,"24,49","63,06",Oui,06,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00609.html
M. Franck GALBERT,RN,11 691,"14,35","36,94",Non,06,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/006/00609.html
M. Hervé SAULIGNAC,DVG,21 550,"27,17","60,05",Oui,07,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00701.html
Mme Céline PORQUET,RN,14 339,"18,08","39,95",Non,07,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00701.html
M. Olivier DUSSOPT,ENS,25 684,"26,59","58,86",Oui,07,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00702.html
M. Christophe GOULOUZELLE,NUP,17 955,"18,59","41,14",Non,07,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00702.html
M. Fabrice BRUN,LR,24 896,"30,80","57,11",Oui,07,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00703.html
Mme Florence PALLOT,NUP,18 697,"23,13","42,89",Non,07,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/007/00703.html
